SHC_filename;play_name;character;word_count
A16923;The Antipodes;A16923-truelock.txt;166
A16923;The Antipodes;A16923-unassigned.txt;10
A16923;The Antipodes;A16923-watchman.txt;191
A16923;The Antipodes;A16923-woman.txt;202
A16923;The Antipodes;A16923-woman_1.txt;30
A16923;The Antipodes;A16923-woman_2.txt;58
A16923;The Antipodes;A16923-woman_3.txt;12
A16923;The Antipodes;A16923-xxxx_2.txt;18
A16923;The Antipodes;A16923-yyyy_1.txt;11
A16923;The Antipodes;A16923-yyyy_2.txt;12
A16923;The Antipodes;A16923-yyyy_3.txt;13
A16924;The Northern Lass;A16924-all.txt;71
A16924;The Northern Lass;A16924-anvile.txt;2567
A16924;The Northern Lass;A16924-beav9s.txt;17
A16924;The Northern Lass;A16924-beavis.txt;1342
A16924;The Northern Lass;A16924-bulfinch.txt;919
A16924;The Northern Lass;A16924-bullfinch.txt;21
A16924;The Northern Lass;A16924-clerk.txt;168
A16924;The Northern Lass;A16924-fitchow.txt;3432
A16924;The Northern Lass;A16924-holdup.txt;1849
A16924;The Northern Lass;A16924-howdee.txt;1435
A16924;The Northern Lass;A16924-humphrey.txt;22
A16924;The Northern Lass;A16924-luckless.txt;2298
A16924;The Northern Lass;A16924-maid.txt;19
A16924;The Northern Lass;A16924-masker.txt;8
A16924;The Northern Lass;A16924-multiple.txt;14
A16924;The Northern Lass;A16924-nonsense.txt;652
A16924;The Northern Lass;A16924-omnes.txt;16
A16924;The Northern Lass;A16924-pate.txt;1712
A16924;The Northern Lass;A16924-squelch.txt;4357
A16924;The Northern Lass;A16924-trainewell.txt;2822
A16924;The Northern Lass;A16924-tridewell.txt;3627
A16924;The Northern Lass;A16924-unassigned.txt;79
A16924;The Northern Lass;A16924-vexham.txt;2102
A16924;The Northern Lass;A16924-widgin.txt;193
A16924;The Northern Lass;A16924-widgine.txt;3792
A16927;The Sparagus Garden;A16927-1_courtier.txt;80
A16927;The Sparagus Garden;A16927-1_lady.txt;103
A16927;The Sparagus Garden;A16927-2_courtier.txt;23
A16927;The Sparagus Garden;A16927-2_lady.txt;13
A16927;The Sparagus Garden;A16927-all.txt;8
A16927;The Sparagus Garden;A16927-ambo.txt;9
A16927;The Sparagus Garden;A16927-annabell.txt;533
A16927;The Sparagus Garden;A16927-boy.txt;40
A16927;The Sparagus Garden;A16927-brittleware.txt;945
A16927;The Sparagus Garden;A16927-cautious.txt;1520
A16927;The Sparagus Garden;A16927-coulter.txt;800
A16927;The Sparagus Garden;A16927-curate.txt;414
A16927;The Sparagus Garden;A16927-friswood.txt;2825
A16927;The Sparagus Garden;A16927-gardener.txt;306
A16927;The Sparagus Garden;A16927-gentleman.txt;94
A16927;The Sparagus Garden;A16927-gilbert.txt;2745
A16927;The Sparagus Garden;A16927-hoyden.txt;2761
A16927;The Sparagus Garden;A16927-litter-man.txt;58
A16927;The Sparagus Garden;A16927-matt.txt;484
A16927;The Sparagus Garden;A16927-mony-lacks.txt;3202
A16927;The Sparagus Garden;A16927-multiple.txt;25
A16927;The Sparagus Garden;A16927-rebecca.txt;1675
A16927;The Sparagus Garden;A16927-sam.txt;1231
A16927;The Sparagus Garden;A16927-servant.txt;65
A16927;The Sparagus Garden;A16927-spring.txt;509
A16927;The Sparagus Garden;A16927-striker.txt;4005
A16927;The Sparagus Garden;A16927-tom.txt;1829
A16927;The Sparagus Garden;A16927-touchwood.txt;3852
